"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 25 18:43:48 UTC 2025","Thu Dec 25 18:43:55 UTC 2025","7025","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testIncompleteOTPVerification","Verify OTP validation with incomplete code",""
"passed","Thu Dec 25 18:44:03 UTC 2025","Thu Dec 25 18:44:06 UTC 2025","3612","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testOTPBackNavigation","Verify back navigation from OTP screen",""
"passed","Thu Dec 25 18:43:55 UTC 2025","Thu Dec 25 18:44:03 UTC 2025","7810","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testForgotPasswordBackNavigation","Verify back navigation from forgot password screen",""
"passed","Thu Dec 25 18:42:37 UTC 2025","Thu Dec 25 18:42:45 UTC 2025","7416","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testValidEmailPasswordReset","Verify forgot password functionality with valid email",""
"passed","Thu Dec 25 18:44:19 UTC 2025","Thu Dec 25 18:44:50 UTC 2025","31092","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testKeyboardInteraction","Verify keyboard interaction during flows",""
"passed","Thu Dec 25 18:44:06 UTC 2025","Thu Dec 25 18:44:19 UTC 2025","12365","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testMultipleResetAttempts","Verify multiple password reset attempts",""
"passed","Thu Dec 25 18:42:45 UTC 2025","Thu Dec 25 18:42:52 UTC 2025","7047","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testInvalidEmailFormatReset","Verify password reset with invalid email format",""
"passed","Thu Dec 25 18:43:15 UTC 2025","Thu Dec 25 18:43:26 UTC 2025","10536","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testSendOTPViaEmail","Verify OTP send via email functionality",""
"passed","Thu Dec 25 18:42:52 UTC 2025","Thu Dec 25 18:43:15 UTC 2025","23393","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testEmptyEmailPasswordReset","Verify password reset with empty email field",""
"passed","Thu Dec 25 18:43:26 UTC 2025","Thu Dec 25 18:43:48 UTC 2025","21871","HabitNu Android Mobile Automation","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","com.habitnu.tests.android.forgotPasswordTestAndroid","testValidOTPVerification","Verify OTP input with valid 6-digit code",""
