"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61606","Verify Meals functionality","HabitNu Android Mobile Automation","2025-12-27","failed","2025-12-27","com.habitnu.tests.android.dashboardTestAndroid","Android Login Tests","com.habitnu.tests.android.dashboardTestAndroid","testMealsButton"
"","10085","Verify bottom navigation tabs are functional","HabitNu Android Mobile Automation","2025-12-27","failed","2025-12-27","com.habitnu.tests.android.dashboardTestAndroid","Android Login Tests","com.habitnu.tests.android.dashboardTestAndroid","testBottomNavigationTabs"
"","41010","Verify FitnessVideos functionality","HabitNu Android Mobile Automation","2025-12-27","failed","2025-12-27","com.habitnu.tests.android.dashboardTestAndroid","Android Login Tests","com.habitnu.tests.android.dashboardTestAndroid","testFitnessVideosButton"
"","96533","Verify contact us back navigation","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testContactUsBackNavigation"
"","97007","Verify form validation with all empty fields","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","testEmptyFormValidation"
"","97304","Verify contact form with minimum valid data","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","testMinimumValidData"
"","96515","Verify contact us form validation with empty fields","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testContactUsEmptyFields"
"","61609","Verify habit navigation","HabitNu Android Mobile Automation","2025-12-27","failed","2025-12-27","com.habitnu.tests.android.dashboardTestAndroid","Android Login Tests","com.habitnu.tests.android.dashboardTestAndroid","testHabitNavigation"
"","96584","Verify contact us form is accessible from login screen","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","testContactUsFormAccess"
"","96591","Verify OTP validation with invalid code","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testInvalidOTPInput"
"","31859","Verify login with invalid email format","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testInvalidEmailFormat"
"","96524","Verify successful contact form submission with valid data","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","testValidContactFormSubmission"
"","97270","Verify form submission with missing email field","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","testMissingEmailValidation"
"","31742","Verify contact us form with valid data","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testContactUsValidData"
"","31736","Verify keyboard interaction with password field","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testPasswordFieldKeyboardInteraction"
"","96614","Verify send code via text functionality","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testSendCodeViaText"
"","31761","Verify network interruption handling during authentication","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testNetworkInterruptionScenario"
"","61624","Verify Exercise functionality","HabitNu Android Mobile Automation","2025-12-27","failed","2025-12-27","com.habitnu.tests.android.dashboardTestAndroid","Android Login Tests","com.habitnu.tests.android.dashboardTestAndroid","testExerciseButton"
"","97385","Verify contact form stress test","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","testContactFormStress"
"","97285","Verify category selection functionality","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","testCategorySelection"
"","12","Verify weight progress information","HabitNu Android Mobile Automation","2025-12-27","failed","2025-12-27","com.habitnu.tests.android.dashboardTestAndroid","Android Login Tests","com.habitnu.tests.android.dashboardTestAndroid","testWeightProgressInformation"
"","130296","Verify dashboard loads successfully after login","HabitNu Android Mobile Automation","2025-12-27","failed","2025-12-27","com.habitnu.tests.android.dashboardTestAndroid","Android Login Tests","com.habitnu.tests.android.dashboardTestAndroid","testDashboardLoadsSuccessfully"
"","32083","Verify OTP send via email functionality","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.forgotPasswordTestAndroid","Android Login Tests","com.habitnu.tests.android.forgotPasswordTestAndroid","testSendOTPViaEmail"
"","31824","Verify email field accepts valid email format","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.loginTestAndroid","Android Login Tests","com.habitnu.tests.android.loginTestAndroid","testValidEmailInput"
"","97260","Verify form submission with missing subject field","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","testMissingSubjectValidation"
"","97340","Verify form field character limits","HabitNu Android Mobile Automation","2025-12-27","broken","2025-12-27","com.habitnu.tests.android.contactUsTestAndroid","Android Login Tests","com.habitnu.tests.android.contactUsTestAndroid","testFieldCharacterLimits"
"","41288","Verify scrolling functionality","HabitNu Android Mobile Automation","2025-12-27","failed","2025-12-27","com.habitnu.tests.android.dashboardTestAndroid","Android Login Tests","com.habitnu.tests.android.dashboardTestAndroid","testDashboardScrolling"
